<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<NUMERO , 10>
<FECHACOL , ]>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , tam>
<IDENTIFICADOR , tam>
<ATRIBUICAO , :=>
<NUMERO , 10>
<IDENTIFICADOR , preencheVetor>
<ABREPAR , (>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , i>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , j>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<NUMERO , 0>
<IDENTIFICADOR , j>
<ATRIBUICAO , :=>
<IDENTIFICADOR , tam>
<REPITA , repita>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<ATRIBUICAO , :=>
<IDENTIFICADOR , j>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<IDENTIFICADOR , i>
<SOMA , +>
<NUMERO , 1>
<IDENTIFICADOR , j>
<ATRIBUICAO , :=>
<IDENTIFICADOR , j>
<SUBTRACAO , ->
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , i>
<MENOR , <>
<IDENTIFICADOR , tam>
<FIM , fim>
<IDENTIFICADOR , bubble_sort>
<ABREPAR , (>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , i>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<NUMERO , 0>
<REPITA , repita>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , j>
<IDENTIFICADOR , j>
<ATRIBUICAO , :=>
<NUMERO , 0>
<REPITA , repita>
<SE , se>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<MAIOR , >>
<IDENTIFICADOR , v>
<ABRECOL , [>
<IDENTIFICADOR , j>
<FECHACOL , ]>
<ENTAO , então>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , temp>
<IDENTIFICADOR , temp>
<ATRIBUICAO , :=>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<ATRIBUICAO , :=>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , j>
<FECHACOL , ]>
<IDENTIFICADOR , vet>
<ABRECOL , [>
<IDENTIFICADOR , j>
<FECHACOL , ]>
<ATRIBUICAO , :=>
<IDENTIFICADOR , temp>
<FIM , fim>
<IDENTIFICADOR , j>
<ATRIBUICAO , :=>
<IDENTIFICADOR , j>
<SOMA , +>
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , j>
<MENOR , <>
<IDENTIFICADOR , i>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<IDENTIFICADOR , i>
<SOMA , +>
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , i>
<MENOR , <>
<IDENTIFICADOR , tam>
<FIM , fim>
<INTEIRO , inteiro>
<PRINCIPAL , principal>
<ABREPAR , (>
<FECHAPAR , )>
<IDENTIFICADOR , preencheVetor>
<ABREPAR , (>
<FECHAPAR , )>
<IDENTIFICADOR , bubble_sort>
<ABREPAR , (>
<FECHAPAR , )>
<RETORNA , retorna>
<ABREPAR , (>
<NUMERO , 0>
<FECHAPAR , )>
<FIM , fim>
