<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , a>
<ABRECOL , [>
<NUMERO , 1024>
<FECHACOL , ]>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , c>
<ABRECOL , [>
<NUMERO , 1024>
<FECHACOL , ]>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , c>
<ABRECOL , [>
<NUMERO , 1024>
<FECHACOL , ]>
<IDENTIFICADOR , init>
<ABREPAR , (>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , i>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<NUMERO , 1>
<REPITA , repita>
<IDENTIFICADOR , a>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<IGUALDADE , =>
<NUMERO , 1>
<IDENTIFICADOR , b>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<IGUALDADE , =>
<NUMERO , 1>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<IDENTIFICADOR , i>
<SOMA , +>
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , i>
<IGUALDADE , =>
<NUMERO , 1024>
<FIM , fim>
<IDENTIFICADOR , vecAdd>
<ABREPAR , (>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , i>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<NUMERO , 1>
<REPITA , repita>
<IDENTIFICADOR , c>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<ATRIBUICAO , :=>
<IDENTIFICADOR , a>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<SOMA , +>
<IDENTIFICADOR , b>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<IDENTIFICADOR , i>
<SOMA , +>
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , i>
<IGUALDADE , =>
<NUMERO , 1024>
<FIM , fim>
<IDENTIFICADOR , imprimir>
<ABREPAR , (>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , i>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<NUMERO , 1>
<REPITA , repita>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , c>
<ABRECOL , [>
<IDENTIFICADOR , i>
<FECHACOL , ]>
<FECHAPAR , )>
<IDENTIFICADOR , i>
<ATRIBUICAO , :=>
<IDENTIFICADOR , i>
<SOMA , +>
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , i>
<IGUALDADE , =>
<NUMERO , 1024>
<FIM , fim>
<INTEIRO , inteiro>
<PRINCIPAL , principal>
<ABREPAR , (>
<FECHAPAR , )>
<IDENTIFICADOR , init>
<ABREPAR , (>
<FECHAPAR , )>
<IDENTIFICADOR , vecAdd>
<ABREPAR , (>
<FECHAPAR , )>
<IDENTIFICADOR , imprimir>
<ABREPAR , (>
<FECHAPAR , )>
<RETORNA , retorna>
<ABREPAR , (>
<NUMERO , 0>
<FECHAPAR , )>
<FIM , fim>
